PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,TotalPlayTimeMinutes,Engaged
9000,43,Male,Other,Strategy,16.271118760553215,0,Medium,6,108,79,25,Medium,976.2671256331929,0
9001,29,Female,USA,Strategy,5.525961380570566,0,Medium,5,144,11,10,Medium,331.55768283423396,0
9002,22,Female,USA,Sports,8.223755243499511,0,Easy,16,142,35,41,High,493.42531460997066,1
9003,35,Male,USA,Action,5.265351277318268,1,Easy,9,85,57,47,Medium,315.92107663909604,0
9004,33,Male,Europe,Action,15.53194452113429,0,Medium,2,131,95,37,Medium,931.9166712680575,0
9005,37,Male,Europe,RPG,20.561855414112557,0,Easy,2,81,74,22,Low,1233.7113248467535,0
9006,25,Male,USA,Action,9.752716365932256,0,Hard,1,50,13,2,Low,585.1629819559354,0
9007,25,Female,Asia,RPG,4.401729344841462,0,Medium,10,48,27,23,Medium,264.1037606904877,0
9008,38,Female,Europe,Simulation,18.15273259575482,0,Easy,5,101,23,41,Medium,1089.1639557452893,0
9009,38,Female,Other,Sports,23.942771725289525,0,Easy,13,95,99,36,High,1436.5663035173716,1
9010,17,Male,USA,Strategy,4.829915833543258,0,Hard,8,95,14,12,High,289.7949500125955,1
9011,36,Female,Asia,Simulation,5.53598092541321,1,Easy,16,124,62,31,High,332.1588555247926,1
9012,16,Male,USA,Sports,18.776233805679176,1,Easy,9,18,52,32,High,1126.5740283407506,1
9013,38,Female,USA,Strategy,8.701959180591404,0,Easy,0,156,33,47,Low,522.1175508354842,0
9014,44,Male,USA,Simulation,17.975200475946355,0,Easy,8,41,98,1,Low,1078.5120285567814,0
9015,16,Male,Europe,RPG,7.951511339057053,0,Medium,10,156,58,24,High,477.0906803434232,1
9016,35,Male,Asia,Strategy,17.88789845694821,0,Easy,16,154,62,4,High,1073.2739074168926,1
9017,47,Male,USA,RPG,17.272112901806345,0,Medium,2,131,13,9,Low,1036.3267741083807,0
9018,26,Female,Asia,Action,19.416078735805648,0,Easy,3,135,77,25,Medium,1164.964724148339,0
9019,36,Female,Asia,RPG,19.3388255215677,0,Easy,4,56,21,30,Low,1160.329531294062,0
9020,39,Female,USA,Sports,1.7225809816138815,0,Easy,2,177,34,37,Medium,103.3548588968329,0
9021,41,Female,USA,Sports,16.16768979311812,0,Easy,18,159,36,33,High,970.0613875870873,1
9022,42,Male,USA,Sports,10.44812618560384,0,Medium,2,120,81,5,Low,626.8875711362305,0
9023,30,Male,Europe,Strategy,17.959834855223,0,Easy,14,117,40,19,High,1077.59009131338,1
9024,29,Male,Europe,Sports,22.56472310015379,0,Medium,12,161,1,22,High,1353.8833860092273,1
9025,17,Female,USA,Sports,10.311459919262395,0,Hard,4,82,1,7,Medium,618.6875951557437,0
9026,21,Male,USA,Strategy,4.898342485762538,0,Medium,12,118,71,26,High,293.9005491457523,1
9027,35,Male,USA,Sports,14.5944246415276,0,Easy,18,177,59,18,High,875.665478491656,1
9028,23,Male,Europe,Simulation,3.218365077668621,0,Easy,14,57,2,1,Medium,193.10190466011724,0
9029,32,Female,USA,Sports,4.128575768252703,0,Easy,1,155,85,37,Low,247.71454609516218,0
9030,18,Female,Asia,Simulation,22.85867253938618,0,Easy,3,67,35,2,Low,1371.5203523631708,0
9031,39,Male,USA,Sports,3.374945771843211,1,Easy,5,70,50,11,Medium,202.49674631059267,0
9032,28,Female,Europe,Action,14.527638765802958,0,Hard,0,127,48,48,Low,871.6583259481775,0
9033,23,Male,USA,Simulation,18.964324125931693,0,Hard,19,48,62,42,Medium,1137.8594475559016,0
9034,40,Male,USA,Strategy,11.72896470228836,0,Hard,0,120,24,18,Low,703.7378821373017,0
9035,16,Female,USA,RPG,17.491258097283612,0,Medium,18,166,24,17,High,1049.4754858370168,1
9036,34,Male,Europe,Action,13.776451193864396,0,Hard,19,28,79,41,Medium,826.5870716318638,0
9037,42,Male,USA,Strategy,23.958349383365025,0,Medium,17,61,26,26,Medium,1437.5009630019015,0
9038,21,Female,Europe,Action,1.9080071501124567,0,Medium,11,112,14,0,Medium,114.4804290067474,0
9039,22,Female,Europe,Sports,5.560105967959029,0,Hard,3,116,52,44,Medium,333.6063580775417,0
9040,49,Female,Europe,Strategy,13.714087008439236,1,Medium,15,43,93,29,Medium,822.8452205063542,0
9041,28,Male,Other,RPG,12.283925798967,0,Medium,4,151,76,35,Medium,737.0355479380199,0
